ID,Text,Sub-task A,Sub-task B
103,Abe kutte mene Meri sari post delete kr di hai Kal nayi post send krungi usape comment kr de na ok,OAG,GEN
104,kutte tu gali bak raha hai mera aaj mod nahi hai gali dene ka nikal tu bhi,OAG,GEN
105,kutte nhi,OAG,GEN
106,hm chutiya,OAG,GEN
107,ji chutiya,OAG,GEN
108,sex,OAG,GEN
109,tu boli chod,OAG,GEN
110,teri behan ke chut,OAG,GEN
111,tu boli chod rhne de 😖,OAG,GEN
112,chutiya ho lakin answer to aata nahi phaltu mai doubnut chalata h,OAG,GEN
113,"Bro, didi cum to my post...",OAG,GEN
114,chod na,OAG,GEN
115,behen ke lode madar chod,OAG,GEN
116,behen ke lode madar chod bhosadi ke teri gand m ESi jali hui mirchi dalunga ki koi bhi Danai kam nahi karegi,OAG,GEN
117,fuck,OAG,GEN
118,bss Yaar 2 chut gai the isliye MN nhi tha Mera khana khane Ka mood offf tha mam 1 mint BHI de deti toh Mai kr leti lekin mam be ekdam le liya😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭,OAG,GEN
119,it's just fuck very stupid,OAG,GEN
120,lund nahi daloge,OAG,GEN
121,Kyaaa kru sis chut ttaa hee nhi,OAG,GEN
122,"yrrr chod na usse 

mera funda apna 
ek baar jo dil se utar gya fir kya fark pdta h ki kidhar gya",OAG,GEN
123,chod na,OAG,GEN
124,tu boli chod 🤬 bus   jisko apna smjo wo ASA bole  gaa too mood of hoga hi,OAG,GEN
125,"ghanta Ka bro chutiya hai ye 😂😂
study app Mai bhi girls dund Raha hai bsdkkkk",OAG,GEN
126,bhen ke bhosada harpreet,OAG,GEN
127,Teri maki choot bhosdi ke land lego madar chod Teri maki choot,OAG,GEN
128,Aab humne chod diya to fir aap aya gye,OAG,GEN
129,tej bale ko chod ke,OAG,GEN
130,Yaar sex talks,OAG,GEN
131,Yaar sex talks,OAG,GEN
132,yaar hot aaste yaar kdhi kdhi ass,OAG,GEN
133,gand mara le or khud ko follow kar le,OAG,GEN
134,sex chat💬💬,OAG,GEN
135,haa nahi to sex chat kare,OAG,GEN
136,m aapke post aake chat Kar lu ga wo muje pareshan Kar tee aur aapko kuch be nahi bola na unko mere kasham aur aapke sath Kare to kha Dena mahi Mera Bhai nahi h to wo aapka peccha chod dege was wo aapko kuch nahi kahe ge,OAG,GEN
137,mere saath sex chat karonge plzz,OAG,GEN
138,Who the bloody hell u r?? 😡😡,OAG,GEN
139,1...2....5 meri bhen 😘😊,OAG,GEN
140,randi,OAG,GEN
141,ajeeb chutiya banaya ja raha hai😂,OAG,GEN
142,toh love krta h krke chod ke chalegai the kya,OAG,GEN
143,chod aashu or sin^2 hi achha h...,OAG,GEN
144,ha be kutte mujhe ladne me maja aata h,OAG,GEN
145,toh love krta h krke mujhe chod ke chalegai na,OAG,GEN
146,chod du kya,OAG,GEN
147,mai hu jo tere se hate baht kerta hu kutte,OAG,GEN
148,sab friend chod kr chale jate hai yarr😢😢,OAG,GEN
149,nhi yarrr pta nhi kya galti ho jata hai yarrr  sab friend chod kr chale jate hai yarrr😢,OAG,GEN
150,"ek dum se chhod dijiye 
aur freinds ke sath baath kijiye vajai 
mobile chalane ke 

kuch din kijiye continously chut jayega",OAG,GEN
151,abe chutiye tu phir gaand utha ke aaagya,OAG,GEN
152,abe...chutiye...tu phir gaand utha ke aaagya,OAG,GEN
153,Per aab lat chut rha h 😂😂😂,OAG,GEN
154,aa jayegi😱😱😱 oo shit,OAG,GEN
155,are aa jayegi tum pareshaan na ho 😱😱😱 are yaar shit,OAG,GEN
156,bakka randi,OAG,GEN
157,bakka randi,OAG,GEN
158,randi bala,OAG,GEN
159,"jitna jaldi ho sake, usse chod doh",OAG,GEN
160,"aur iss xxx ki mom ki nudes me kheechunga
xxx ki maa hi randi chudael hai",OAG,GEN
161,student ka sala mc koi Kam kr le chutiye,OAG,GEN
162,bc sale chutiye tumko aur koi Kam nhi hai,OAG,GEN
163,ooye kutte kaise ho,OAG,GEN
164,your awesome boobs,OAG,GEN
165,kutte 😂😂,OAG,GEN
166,madar chod sale no. bhej apni,OAG,GEN
167,ha koi pyar krte to pixa pdta aaur koi sex k lea 😂😂,OAG,GEN
168,kutte mai tera khun pe jaunge,OAG,GEN
169,koi pyar krta ha to pdta ha to koi sex k lea pdta ha 🤣🤣,OAG,GEN
170,mera sex ka mn hota h,OAG,GEN
171,yrr bhen chod,OAG,GEN
172,khushi tko chod degi,OAG,GEN
173,madhar chod,OAG,GEN
174,khushi tko chod degi,OAG,GEN
175,me tko chod du,OAG,GEN
176,khushi tko chod degi,OAG,GEN
177,fir mene school chod diya,OAG,GEN
178,khushi tko chod dego,OAG,GEN
179,fir kya school chod diya,OAG,GEN
180,chod na yrr nain ab,OAG,GEN
181,"ok chod gussa 
just frnds",OAG,GEN
182,"ok chod gussa 
just frnds",OAG,GEN
183,laghta hai tere aap ne ganja fuk liya hai😂😂😂,OAG,GEN
184,randi ke beeeeeej,OAG,GEN
185,madarchod,OAG,GEN
186,motherfucker,OAG,GEN
187,kon h vo jisne aapko chod dya,OAG,GEN
188,madarchod,OAG,GEN
189,or aapne mujhse sex k liye kyu pocha tha ??,OAG,GEN
190,kon h vo jisne aapko chod diya,OAG,GEN
191,"tum hi batao ek ladki dusri ladki ko sex 
etani gandi bat kh sakati he kya",OAG,GEN
192,chut dogye kya,OAG,GEN
193,kha bhag gaya be meko chod k🤨,OAG,GEN
194,but apke liye chod dunga,OAG,GEN
195,oh fuck,OAG,GEN
196,Iss app ka use padhai ma kiya karo baki ass your wish,OAG,GEN
197,saala gand mera,OAG,GEN
198,waise kutte yeh chikku ko kya bol raha tha tu 😡😡😡,OAG,GEN
199,sorry but this app was used by only study please ass your wish,OAG,GEN
200,waise kutte yeh chikuu ko kya bol raha tha tu 😡😡😡😡,OAG,GEN
201,kya tumne kabhi sex kiya hai,OAG,GEN
202,Oo kutte tu😂🤣😂🤣,OAG,GEN
203,"apna to hame dost mana hi chod diya tha 
😞",OAG,GEN
204,kyun nahi kaha isliye chod diya,OAG,GEN
205,what is sex,OAG,GEN
206,abe kutte kamine nikle le phli fursat se... 👊👊😡😡😡,OAG,GEN
207,ye mc h randi h bc,OAG,GEN
208,"what the fuck 
hota h bhai😂😂😂😂😂",OAG,GEN
209,I sex with you,OAG,GEN
210,kutte tu toh bhej,OAG,GEN
211,भाग bhosdi ke,OAG,GEN
212,kutte tu bhi apna thobda bata,OAG,GEN
213,ryt sis but agar ladka ek ladki ko chod krr apni purani gf ke pass chala jaye to yeh bol krr ki doosra dhoond lena,OAG,GEN
214,abb jo mila hai usko choodu gye nhi,OAG,GEN
215,"aapne chod diya hoga...
mdm
hm to jis ko ak baar pkd lete h use jindgi bhr na chode",OAG,GEN
216,promise krta ho tu life h meri nhi jauga chod ke tujhe,OAG,GEN
217,m kb gya chod ke,OAG,GEN
218,lund le liya karo,OAG,GEN
219,ohh sex ali site aa,OAG,GEN
220,gand kab marva rahe ho,OAG,GEN
221,tere saath notty sex xxx,OAG,GEN
222,I sex with uski,OAG,GEN
223,abe kutte delete kr mayra aa jayegi na to maar dalegi sb ko,OAG,GEN
224,sex,OAG,GEN
225,ruk jaa saali teri gaand maarta hun...,OAG,GEN
226,kon chod gya aapko,OAG,GEN
227,koi chod gya k,OAG,GEN
228,u mean sex,OAG,GEN
229,mujhe kbhi mt chod k jana,OAG,GEN
230,you mean sex,OAG,GEN
231,mujhe chod k mt Jana plz,OAG,GEN
232,tuya gandit lavda,OAG,GEN
233,aaj first day period ka frr bhi mjk krri hu or tumare nkhre khtm nhi hore,OAG,GEN
234,oye bhas pakad liya na chodu ga nhi,OAG,GEN
235,abe chutiya ghari ye na,OAG,GEN
236,aap12 ke bad doubtnut  chod doge,OAG,GEN
237,I am sex,OAG,GEN
238,bur me chod denge,OAG,GEN
239,I sex with u,OAG,GEN
240,okkk mene chod diya,OAG,GEN
241,bur me chod denge,OAG,GEN
242,sex o v m,OAG,GEN
243,Tum is topic ko chod do,OAG,GEN
244,😂😂😥😥😥psine chut jate hai yhan ake,OAG,GEN
245,group chod kar to aisa aaye thi jaisa sach ma gussa ho,OAG,GEN
246,Koi chod Kar chala gaya hai,OAG,GEN
247,chod diya,OAG,GEN
248,kutte kaminey chala gaya tha Baat Nahin karne,OAG,GEN
249,harami londa ko hante ho tum,OAG,GEN
250,harami ladko janta hh tu,OAG,GEN
251,kutte chala rahe the,OAG,GEN
252,oy sale Tu he hi camina to tuje sala na kahu to i like you kahu kya....,OAG,GEN
253,harami ladki,OAG,GEN
254,me q chodu,OAG,GEN
255,swag mtlb sex,OAG,GEN
256,oh shit,OAG,GEN
257,oh shit,OAG,GEN
258,I sex u,OAG,GEN
259,fuck off,OAG,GEN
260,tumhe chod Diya esa kya Kiya tumne,OAG,GEN
261,apna sex ka photo dikhana jra,OAG,GEN
262,"teri maaa aur behan tang utha rhi hai mere bagal mai bistar mai soyi aaaaaaah teri behn ki chut mst hai bhosdiwale...


aaaja mere bete lele mera lauda",OAG,GEN
263,I sex with you,OAG,GEN
264,bur chod denge,OAG,GEN
265,are chutiya mu dekha he kya mirror me,OAG,GEN
266,fuck off,OAG,GEN
267,muje a chij pasnd thi vo bi chod di mane,OAG,GEN
268,Sala chut se shakal Wala lorq,OAG,GEN
269,abe kutte yhi kam aate hai kya,OAG,GEN
270,ghr ki chod aarohi ko bula,OAG,GEN
271,madhrchod chutiya sale dhang se bta,OAG,GEN
272,ghr ki chod aarohi ko bula kese v,OAG,GEN
273,chal diye abb gand marake,OAG,GEN
274,abe bhosdike hindi m bol le,OAG,GEN
275,by the way nice boobs u r having,OAG,GEN
276,chut maregi,OAG,GEN
277,haan randi mereko chahiye,OAG,GEN
278,chal chod,OAG,GEN
279,fuck your ass sars,OAG,GEN
280,"log na sirf use karte hai
aur koi acha mil gaya tho chod dete hai",OAG,GEN
281,bro ye ek number ki chutiya gir hai,OAG,GEN
282,or tu bigg ass hai,OAG,GEN
283,tere bhan ka saale ghar me gus ke tere maa ko gand marunga thik bate kah hai tu randi ke aaulad terebhan ko ghar se utha lunga maa ke gand Farr dunga,OAG,GEN
284,or tu big ass hai,OAG,GEN
285,He is a motherfucker 😠😠,OAG,GEN
286,"lund pe lund lund pe topi 
komal pakad ke jhul gyi hoti🤣🤣😂😂",OAG,GEN
287,"kutte bhen bhi bolta h aur fir ye sab bhi 

keede padenge tujhe",OAG,GEN
288,oye randi ke bate,OAG,GEN
289,"ab pehle jese ho
nd
ye wierd behavior chod",OAG,GEN
290,mera message tha vo..jo aapki friend ne..bola ki koi chod ke gayi,OAG,GEN
291,wo...aapki friend ne kaha tha na...ki message chod ker gayi hai...wo mera message hi tha...,OAG,GEN
292,"He asked me to send my naked photo




Such type of boys r motherfucker 😠😠😠😠😠😠😠",OAG,GEN
293,One day he  asked to snd my naked photo........... Such type is motherfucker 😠😠😠😠😠😠,OAG,GEN
294,ye bato chod ke to nhi jaogi aap muje,OAG,GEN
295,kutte haramzade,OAG,GEN
296,to Tu pakka madarchod hai,OAG,GEN
297,ishliye mujhe chod ke gayi vo,OAG,GEN
298,ishliye mujhe chod ke gayi vi,OAG,GEN
299,ap khud hi usse chod do gi,OAG,GEN
300,bur me chod denge,OAG,GEN
301,ap Aapne hi usse chod do gi,OAG,GEN
302,fuck yu all,OAG,GEN
303,nice boobs 👌,OAG,GEN
304,sex kregi iske sath,OAG,GEN
305,riya come lets fuck,OAG,GEN
306,are vo chod ab is par baat  mat  kar kk,OAG,GEN
307,sex kerna h😂😂😂😂,OAG,GEN
308,aab kutta bol hi Diya hai to kutte ki aukat dhikha kar rahenge,OAG,GEN
309,I like your boobs babe,OAG,GEN
310,aab kutta bol hi diys hai to aab to kutte ki aukat dhikhana jaruri hai,OAG,GEN
311,sale harami,OAG,GEN
312,chod ib,OAG,GEN
313,kuch na chod,OAG,GEN
314,Pakistani madarchod,OAG,GEN
315,Abe Tere jaise kutte bhut boukte hai mere gliyo me,OAG,GEN
316,Pakistani madarchod,OAG,GEN
317,kyuki inki wajah se kafi logo ne yudh vidya chod di.....jisse jb Muslim aye to yha wo raaj krne lge,OAG,GEN
318,"wo kahe bol raha tha ki 
mai aapka  pichan nahi chod rahi hu",OAG,GEN
319,oo same ass,OAG,GEN
320,saale ek hi to pic Maine post ki to tu aur pic kaha se aayega kutte,OAG,GEN
321,oo kutte,OAG,GEN
322,oo kutte,OAG,GEN
323,"it's ok bro ye jatin peecha hi nhi chod ,rha  hai",OAG,GEN
324,u know wht me. harami aapke us comment k wajah se I have to suffer a lot,OAG,GEN
325,Abe kutte abhi tk tu gya nhi,OAG,GEN
326,ha kartik bro ye jatin peecha hi nhi chod rha hai,OAG,GEN
327,Abe oo kutte ja ke khi aur bouk,OAG,GEN
328,harami baba nam sy hh yrr,OAG,GEN
329,Teri maa ki chut,OAG,GEN
330,sexy boob,OAG,GEN
331,oo fuck,OAG,GEN
332,Yeah Sala harami h,OAG,GEN
333,and sexy boob,OAG,GEN
334,aapse sex krna h,OAG,GEN
335,"kutte 😠😠 tuje bf Nahi Bana hai muje..

muje to bhul gye tum",OAG,GEN
336,"kutte 😠😠tuje bf Nahi Bana hai muje....

muje to bhul hi jaate ho",OAG,GEN
337,"no 
USna kha USna dn chod diya",OAG,GEN
338,are chutiya Baba Ne Gyan diya tha maine man liya,OAG,GEN
339,"kutta ..
🤣🤣😂😂🤪🤪

tujhe kutte n pataya h..
🤪😂😂🤣🤣
amazing yarr..",OAG,GEN
340,Ghanta pahle Nahin Socha Tha pata nahin Kisi Ne device De didi chutiya Insan ne,OAG,GEN
341,"kutta...
🤣🤣😂😂🤪😝

tujhe kutte ne pataya tha ..
amazing..
,😝😝🤪🤪😂🤣🤣🤣",OAG,GEN
342,"are karii thii bt tune dekha nh shyd 

aur tuu  dn pe bhii nh dikhi muze laga dn chod ke bhagg gaii

isliye mene coment bhii remove kr di thi😌😌",OAG,GEN
343,nice boob,OAG,GEN
344,nice boob,OAG,GEN
345,chod,OAG,GEN
346,kuchh nai chod,OAG,GEN
347,kuchh nai chod,OAG,GEN
348,uske jaisa chutiya insaan nahi dekha maine apni life me 😂😂😂🤣🤣🤣🤣,OAG,GEN
349,"vo actually mai bas ye dekh ra thi ki aap kahi dobara to ni chod dogi 

but ab yakin ho gaya hai 
that's like my best friend ❣️",OAG,GEN
350,but ha khup harami distoy... sorry jaan,OAG,GEN
351,Ha khup harami distoy.... sorry jaan,OAG,GEN
352,ohh shit,OAG,GEN
353,harami kutte kuch to sharam kr muze zagade nahi pasand,OAG,GEN
354,"dekhlia
boldia usko sale harami ko",OAG,GEN
355,butt aapko mil gyii ..h... shii h...good,OAG,GEN
356,chl chod n,OAG,GEN
357,chutiya ha kya sin(nxπ) Galt Kiya tune,OAG,GEN
358,chod use 😐,OAG,GEN
359,use chod tu,OAG,GEN
360,chutiye,OAG,GEN
361,chl chod use,OAG,GEN
362,chod,OAG,GEN
363,chod 😐,OAG,GEN
364,sex,OAG,GEN
365,chod use 😐,OAG,GEN
366,chod 😐,OAG,GEN
367,dimag shi h tera chutiya,OAG,GEN
368,mujhse to baat hi krna chod Diya h 🥺🥺🥺🥺😭,OAG,GEN
369,butt humm study kr rhe the too..,OAG,GEN
370,krishna is bahan chod ko tu bhi gali de,OAG,GEN
371,Krishana is bahan chod ko tu bhi gali de,OAG,GEN
372,hmara kl ek topic adhoora choot gya tha btao kya,OAG,GEN
373,aapne kabhi sex kiya h,OAG,GEN
374,kl hmare ek topic adhoora choot gya tha btao kya,OAG,GEN
375,nhii yarr ldkee h bhutt butt mere jesaa too koii nhii mila..yhaaa...👉👉😅😅,OAG,GEN
376,koi sexy hot larki apna WhatsApp no. do jisko sex karna hh samjhi,OAG,GEN
377,yaar hmara ek topic adhoora choot gya tha kl btao kya,OAG,GEN
378,fir pta h bol rha ki use chod do mujhe pkd lo🤷🏻,OAG,GEN
379,chod diya yaar purana,OAG,GEN
380,fir bolne lga use chod do,OAG,GEN
381,fir bolne lga use chod do mujhe pkd lo,OAG,GEN
382,First tell me ur name... And ur sex,OAG,GEN
383,uff mera bhai hame chod kr kha jaa rha hain🙄🙄🙄,OAG,GEN
384,gaand chod dunga madhar mera copy krega to,OAG,GEN
385,sister fucker 3rd answer is wrong,OAG,GEN
386,garmi bhut h rhne de chod vrat ko,OAG,GEN
387,matlab tu hai ek no. ka chutiya koi shak ki baat nahi hai,OAG,GEN
388,oye harami jaa rahe ho to bta ke jaao,OAG,GEN
389,bhooootni 👈😂😂,OAG,GEN
390,I want to fuck you,OAG,GEN
391,Amita Saha I want to fuck you,OAG,GEN
392,madhar chod Teri bahan ki chudai,OAG,GEN
393,sendy tumse sex karene ke liye bol rha h..kamina,OAG,GEN
394,"teri bahen ki babli gand
teri maa ki chudai se tere jaisa kutta nikala ha teri bahen ki babli gand bahan ke lode teri maa ki chut 
teri bahen ki chut Teri bahan ki chudai kar raha tha
ab bolo teri bahen ki chut dekha kya fati hai",OAG,GEN
395,sendy tumse sex krne ki baat bol rha h kamina..,OAG,GEN
396,I sex you girl,OAG,GEN
397,mein ne bhi pubg chod di,OAG,GEN
398,abe madhar chod tu hai kon,OAG,GEN
399,tera bur faar ke sex krenge,OAG,GEN
400,is topic ko chod do aap nahi samjo ga,OAG,GEN
401,sex dikha,OAG,GEN
402,sex,OAG,GEN
403,is bat ko chod do koi or topic pa bat karo,OAG,GEN
404,aap app chod rhe ho kya .,OAG,GEN
405,tera sex boy,OAG,GEN
406,me bolri teko I'd ni mili to tu baat krna chod dega,OAG,GEN
407,mtlb tko I'd ni mili to tu baat krna chod dega,OAG,GEN
408,mtlb tko I'd ni mili to tu baat krna chod dega,OAG,GEN
409,mtlb tko I'd ni mili to tu baat krna chod dega,OAG,GEN
410,kahi to chod Diya Karo arpit Bhaiya😔😔😔😔😔,OAG,GEN
411,choot,OAG,GEN
412,arpit Bhaiya kahi to chod Diya karo,OAG,GEN
413,bahen ki babli gand teri maa ki chhoti chut maa ke lode teri bahen ki lode teri bahen ki chut teri bahen mera naam se mashur hai teri bahen ki babli gand far doo,OAG,GEN
414,sex,OAG,GEN
415,"teri bahen ki babli hand far
teri maaa ki chut teri maa ki chudai
teri bahen ki lugai hoo mai
teri bahen ki chut  far doo
teri maa ki kahaniyan sexy video 
se mashur hai teri bahen mera naam se mashur hai 
TERI BAHEN KI CHUT
TERI BAHEN KI CHUT
TERI BAHEN KI CHUT 
TERI BAHEN KI CHUT
TERI MAA KE SATH SEXY VIDEO BANAU 
TERI MAA KI CHUT
TERI BAHEN KI CHUT 
DO KI CHUT FAR DUNGA",OAG,GEN
416,chut,OAG,GEN
417,what  the fuck,OAG,GEN
418,bsdk Galat Anwer de rha hai madarchod andha hai kya. Ek question k Chkkr me Bc Mood kharab Ho gaya.Bsdk solution shi nhi krta.Galat Hai solution,OAG,GEN
419,😭😭 khan jaa rhi ho humein chod ker,OAG,GEN
420,mai ap ko chod nahe raha hu,OAG,GEN
421,mai chod nahe raha hu,OAG,GEN
422,nahe lissy mai ap ko chod nahe raha hu,OAG,GEN
423,teri ma ki chut bhosdiwale,OAG,GEN
424,nahe lissy mai ap ko chod nahe raha hu,OAG,GEN
425,apni Behan Ko Sambhal meri baat tu chod de,OAG,GEN
426,sex,OAG,GEN
427,"oye kutte aukat apni dekhkar bat kar

agar ab tune inse kuchh kha to.....",OAG,GEN
428,do u like  to do sex,OAG,GEN
429,sex,OAG,GEN
430,Oo beti konse kutte ki jhund me jake chup gaya jara bahar nikal tera bap bula raha hai 😂😅😏😏,OAG,GEN
431,kyu chod du,OAG,GEN
432,"Sahi bol rahe ho

haa aage se asa hi kerna ye ladki ko pahsa lete hai phir chod dete hai kya pta kya milta hai asa kerke inhe",OAG,GEN
433,"kahan chle gye, mujhe akele chod kr!?? 🤔🤔",OAG,GEN
434,To tu bhi to maan sakta hai na kutte,OAG,GEN
435,gand,OAG,GEN
436,chal chod maat de insta I'd,OAG,GEN
437,wase tumari boobs mast hai,OAG,GEN
438,1 minute keya chup ho gaya kutte jeyada bhok ne lage 😂😏😏,OAG,GEN
439,chal chod maat de insta I'd,OAG,GEN
440,moody bol rahi hai vo dn chod ke chali gayi,OAG,GEN
441,chal chod maat de insta I'd,OAG,GEN
442,chal chod maat de insta I'd,OAG,GEN
443,aapne kabhi sex kiya hai,OAG,GEN
444,choot,OAG,GEN
445,1 minute keya chup ho gaya kutte jeyada bhok ne lage,OAG,GEN
446,chut  mast hai yeri,OAG,GEN
447,tumse thoda kum,OAG,GEN
448,apnii gand dena mast hai,OAG,GEN
449,chod tu kya trust krta ek pic to de ni skta apni 😂,OAG,GEN
450,harami,OAG,GEN
451,sex,OAG,GEN
452,i fuck u,OAG,GEN
453,ha mara gav ko chod kar ka sab jo muja janta ha wo shayad darta ha,OAG,GEN
454,To kutte mokka mile tbi to dii ne bola bad me ni mil paoge,OAG,GEN
455,muja chod Kar har aak ko reply dati ha 🥺🥺🥺🥺💔💔💔😔😔😔😔,OAG,GEN
456,sabhi log yha tym pas krta h jab tym pas hogya to chod ke chale jate😤😤😤😤,OAG,GEN
457,tu mere ko chod skti ??,OAG,GEN
458,hn chod tu bta kesa hai,OAG,GEN
459,fuk mar di to ud jayegii😂😂,OAG,GEN
460,ye harami bahut bakchodhi kar rha hai.... ese batana hi padega.. *,OAG,GEN
461,do you like sex,OAG,GEN
462,sala chutiya,OAG,GEN
